sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
EXR-KJENS1RID1-AN.sample_Sample_B_204_BC01_Yr2_ATGAGC_R1_001_fastq	EXR-KJENS1RID1-AN	1296712	Plasma	5105505	1296712	False
EXR-KJENS1RID1-AN.sample_Sample_B_204_GC09_Yr2_GACGAC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	501414	Plasma	3394415	501414	False
EXR-KJENS1RID1-AN.sample_Sample_B_205_BC01_Yr2_TCGGCA_R1_001_fastq	EXR-KJENS1RID1-AN	1563998	Plasma	4088274	1563998	False
EXR-KJENS1RID1-AN.sample_Sample_B_205_GC02_Yr2_GAGTGG_R1_001_fastq	EXR-KJENS1RID1-AN	650112	Plasma	3242084	650112	False
EXR-KJENS1RID1-AN.sample_Sample_B_206_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	1807304	Plasma	11216101	1807304	False
EXR-KJENS1RID1-AN.sample_Sample_B_206_GC06_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	1024282	Plasma	6405076	1024282	False
EXR-KJENS1RID1-AN.sample_Sample_B_206_GC08_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	2395422	Plasma	7865358	2395422	False
EXR-KJENS1RID1-AN.sample_Sample_B_206_GC09_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	2759715	Plasma	10978235	2759715	False
EXR-KJENS1RID1-AN.sample_Sample_B_206_GC10_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	5846967	Plasma	17931114	5846967	False
EXR-KJENS1RID1-AN.sample_Sample_B_207_BC01_Yr2_GTTTCG_R1_001_fastq	EXR-KJENS1RID1-AN	2788990	Plasma	6902786	2788990	False
EXR-KJENS1RID1-AN.sample_Sample_B_207_GC03_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	27631186	Plasma	67565361	27631186	False
EXR-KJENS1RID1-AN.sample_Sample_B_208_BC01_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	1382847	Plasma	7678306	1382847	False
EXR-KJENS1RID1-AN.sample_Sample_B_209_BC01_Yr2_CACCGG_R1_001_fastq	EXR-KJENS1RID1-AN	1060275	Plasma	3867786	1060275	False
EXR-KJENS1RID1-AN.sample_Sample_B_210_BC01_Yr2_GTCCGC_R1_001_fastq	EXR-KJENS1RID1-AN	3082613	Plasma	11560829	3082613	False
EXR-KJENS1RID1-AN.sample_Sample_B_211_BC01_Yr2_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	4849046	Plasma	9973243	4849046	False
EXR-KJENS1RID1-AN.sample_Sample_B_212_BC01_Yr2_TCGGCA_R1_001_fastq	EXR-KJENS1RID1-AN	7571329	Plasma	13046608	7571329	False
EXR-KJENS1RID1-AN.sample_Sample_B_212_GC11_Yr2_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	5020683	Plasma	22318919	5020683	False
EXR-KJENS1RID1-AN.sample_Sample_B_213_BC01_Yr2_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	631400	Plasma	4951339	631400	False
EXR-KJENS1RID1-AN.sample_Sample_B_213_GC04_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	313471	Plasma	2161195	313471	False
EXR-KJENS1RID1-AN.sample_Sample_B_214_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	1981309	Plasma	10469075	1981309	False
EXR-KJENS1RID1-AN.sample_Sample_B_215_GC12_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	1143316	Plasma	4453887	1143316	False
EXR-KJENS1RID1-AN.sample_Sample_B_216_BC01_Yr2_CATTTT_R1_001_fastq	EXR-KJENS1RID1-AN	1369200	Plasma	3462227	1369200	False
EXR-KJENS1RID1-AN.sample_Sample_B_216_GC07_Yr2_GGTAGC_R1_001_fastq	EXR-KJENS1RID1-AN	848612	Plasma	5547821	848612	False
EXR-KJENS1RID1-AN.sample_Sample_B_217_BC01_Yr2_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	9878656	Plasma	13766464	9878656	False
EXR-KJENS1RID1-AN.sample_Sample_B_218_BC01_Yr2_ATGAGC_R1_001_fastq	EXR-KJENS1RID1-AN	3231800	Plasma	10042843	3231800	False
EXR-KJENS1RID1-AN.sample_Sample_B_218_GC10_Yr2_GACGAC_R1_001_fastq	EXR-KJENS1RID1-AN	3007034	Plasma	9447986	3007034	False
EXR-KJENS1RID1-AN.sample_Sample_B_219_BC01_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	1004687	Plasma	3967472	1004687	False
EXR-KJENS1RID1-AN.sample_Sample_B_219_GC02_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	6569708	Plasma	8674345	6569708	False
EXR-KJENS1RID1-AN.sample_Sample_B_220_BC01_Yr2_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	1088466	Plasma	6382898	1088466	False
EXR-KJENS1RID1-AN.sample_Sample_B_221_BC01_Yr2_CCAACA_R1_001_fastq	EXR-KJENS1RID1-AN	3177103	Plasma	7679968	3177103	False
