miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-1180-3p	Urine	2	KJENS,LLAUR	2.1650	0.8162	0.7738	0.0000	1.4416	0.7738			2.8884	0.8587
hsa-let-7c-5p	Urine	2	KJENS,LLAUR	2.3890	0.8159	0.7059	0.0005	3.8931	0.9260			0.8850	0.7059
hsa-miR-378b	Urine	2	KJENS,LLAUR	2.6255	0.8154	0.7332	0.0000	1.5431	0.7332			3.7078	0.8976
hsa-miR-192-5p	Urine	2	KJENS,LLAUR	2.2238	0.8141	0.6760	0.0000	3.1496	0.9521			1.2981	0.6760
hsa-miR-874-3p	Urine	2	KJENS,LLAUR	2.7893	0.8102	0.7864	0.0000	1.8352	0.7864			3.7434	0.8340
hsa-miR-542-3p	Urine	2	KJENS,LLAUR	2.4574	0.8024	0.7582	0.0000	2.1800	0.8467			2.7349	0.7582
hsa-miR-184	Urine	2	KJENS,LLAUR	3.0416	0.8017	0.7243	0.0005	3.7078	0.8791			2.3753	0.7243
hsa-miR-27b-5p	Urine	2	KJENS,LLAUR	2.1085	0.7941	0.7878	0.0000	1.4002	0.8004			2.8167	0.7878
hsa-miR-132-5p	Urine	2	KJENS,LLAUR	2.4605	0.7936	0.7431	0.0000	1.2815	0.7431			3.6395	0.8441
hsa-miR-125b-1-3p	Urine	2	KJENS,LLAUR	2.4926	0.7926	0.7708	0.0000	2.1908	0.8144			2.7943	0.7708
hsa-miR-504-5p	Urine	2	KJENS,LLAUR	2.3895	0.7862	0.7175	0.0001	2.4709	0.8549			2.3081	0.7175
hsa-miR-3064-5p	Urine	2	KJENS,LLAUR	2.1995	0.7828	0.7755	0.0000	1.4155	0.7755			2.9834	0.7901
hsa-miR-4659b-3p	Urine	2	KJENS,LLAUR	2.2527	0.7793	0.7483	0.0000	1.2593	0.7483			3.2462	0.8104
hsa-miR-1299	Urine	2	KJENS,LLAUR	2.5116	0.7780	0.6762	0.0000	1.2764	0.6762			3.7467	0.8797
hsa-miR-6716-3p	Urine	2	KJENS,LLAUR	2.3247	0.7758	0.7586	0.0000	1.4428	0.7586			3.2066	0.7929
hsa-miR-1284	Urine	2	KJENS,LLAUR	2.1843	0.7737	0.7733	0.0000	1.4712	0.7733			2.8974	0.7741
hsa-miR-301a-5p	Urine	2	KJENS,LLAUR	2.2432	0.7715	0.7454	0.0000	1.3059	0.7454			3.1804	0.7977
hsa-miR-34c-5p	Urine	2	KJENS,LLAUR	2.7305	0.7715	0.7378	0.0000	2.1228	0.7378			3.3382	0.8052
