sample_id	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_LUExoRNeasyMP2_Idx27_S107_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	63084.99999999999	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUExoRNeasyMP3_Idx29_S109_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	91233.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUHomebrewFP1_Idx45_S149_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	64714.0	Urine	PASS	Other			True
sample_LUHomebrewFP2_Idx47_S151_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	85097.0	Urine	PASS	Other			True
sample_LUHomebrewFP3_Idx34_S138_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	95640.99999999999	Urine	PASS	Other			True
sample_LUHomebrewMP1_Idx33_S137_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	121.0	Urine	FAIL	Other			True
sample_LUHomebrewMP2_Idx35_S139_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	12.0	Urine	FAIL	Other			True
sample_LUHomebrewMP3_Idx37_S141_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	296.0	Urine	FAIL	Other			True
sample_LUMilliporeFP1_Idx19_S131_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	591.9999999999995	Urine	FAIL	miRNeasy (Qiagen)			True
sample_LUMilliporeFP2_Idx20_S132_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	3772.0	Urine	FAIL	miRNeasy (Qiagen)			True
sample_LUMilliporeFP3_Idx21_S133_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	237.0	Urine	FAIL	miRNeasy (Qiagen)			True
sample_LUMilliporeMP1_Idx42_S122_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	29334.000000000004	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUMilliporeMP2_Idx44_S124_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	56196.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUMilliporeMP3_Idx46_S126_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	8575.999999999998	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUUltracentrifugeFP1_Idx45_S125_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	46913.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUUltracentrifugeFP2_Idx47_S127_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	129381.99999999999	Urine	PASS	miRNeasy (Qiagen)			False
